要件ID,仕様書参照,対象機能,対象画面,対象ロール,事前条件,操作,期待結果,実装箇所,テストID,検証方法,検証証拠,結果,不具合ID,備考
T-011,§13 承認フロー / §6.2,テスト整備,-,①②③,-,テストコードを確認・実行する,①②③が自ら申請した販売員ID・訪販員申請案件を自己承認（最終承認）できることを検証するテストが存在し、パスする,C:/Users/hiras/Documents/test/airis/e2e/05-sales-staff.spec.ts:292; tests/unit/permissions.test.ts:330,,CODE,e2e/05-sales-staff.spec.ts:292「自己承認: R2が自分で申請→自分で1次承認→最終承認まで完結できる（§6.2 ①②③の自己承認）」が再実行でPASS。権限側の根拠は tests/unit/permissions.test.ts:330-347 canApproveFirst（販売員ID・訪販員申請・稼働提出物で①②③⑦が1次承認可＝最終承認権限が1次承認を内含、Airisアカウントは⑦のみで内含しない）を全ロール検証。,PASS,,訪販員申請側は権限の単体テスト＋e2e/06:309 の承認フローで担保されており、①②③が自ら申請→自己最終承認する完全フローのE2Eは販売員IDのみ
T-012,§13 承認フロー / §5.1 / §6.1-5,テスト整備,-,①②,-,テストコードを確認・実行する,Airisアカウントの停止・削除が①②のみ許可され、③〜⑩では拒否されることを検証するテストが存在し、パスする,C:/Users/hiras/Documents/test/airis/tests/unit/permissions.test.ts:161; e2e/04-admin.spec.ts:210-286,,CODE,tests/unit/permissions.test.ts:161-172「Airisアカウントの停止・削除は①②のみ（§6.1-5）」が10ロール全数を検証（vitest 212件PASS）。動的側は e2e/04-admin.spec.ts:210「停止→suspended/再開→active」・247「削除→deleted（論理削除）/復旧」がR2で成功し、76「R3/R8は/adminへ直接アクセスできずダッシュボードへリダイレクト（監査ログ記録）」・422「CSV権限: R3は403、未認証401」で③以降の拒否を検証。e2e/02:104 の§5.2マトリクスでも admin は①②④のみ。,PASS,,
T-013,§13 承認フロー / §14-11,テスト整備,-,①②③⑦,-,テストコードを確認・実行する,販売員ID・訪販員申請の停止・削除が①②③⑦に許可され（⑦は自店配下のみ、他店分は拒否）、その他ロールでは拒否されることを検証するテストが存在し、パスする,C:/Users/hiras/Documents/test/airis/tests/unit/permissions.test.ts:173; e2e/21-error-feedback.spec.ts:131,,CODE,tests/unit/permissions.test.ts:173-188「販売員ID・訪販員申請の停止・削除は①②③⑦（§14-11）」が10ロール全数検証。⑦の自店配下限定と他店拒否は e2e/21-error-feedback.spec.ts:131（描画後にスコープ外の代理店へ移した販売員の停止→「対象の販売員が見つかりません」+DB不変）で検証、⑧の操作UI不在は e2e/06:716（t15 承認/停止ボタンなし）と e2e/15:297（⑧④に編集UI無し・⑨はページ自体不可）、⑦の自店配下操作可は e2e/15:221 / e2e/19:699。いずれも再実行でPASS（e2e/15:221 は初回のみ負荷起因でタイムアウト、単独再実行でPASS）。,PASS,,
T-014,§13 日報 / 要件6-1,テスト整備,-,⑨ほか,-,テストコードを確認・実行する,同一「日付×タイプ×販売員ID」の日報再提出が上書きになることを検証するテストが存在し、パスする,C:/Users/hiras/Documents/test/airis/e2e/07-reports-daily.spec.ts:155,,CODE,"e2e/07-reports-daily.spec.ts:155「R9: 訪販日報の保存→DB検証→同日再提出で上書き（レコード数が増えない）」が再実行でPASS。実装は reports/actions.ts の upsert + schema.prisma:185 @@unique([date, type, salesStaffId])。CSV再取込側の上書きも e2e/19:309（提出物）と e2e/07:402,445 で検証。",PASS,,
T-015,§13 日報,テスト整備,-,⑨ほか,-,テストコードを確認・実行する,月初見込が月の初回提出時のみ入力可能（2回目以降は入力不可）であることを検証するテストが存在し、パスする,C:/Users/hiras/Documents/test/airis/e2e/07-reports-daily.spec.ts:366-464,,CODE,e2e/07-reports-daily.spec.ts:366「R9: 訪販の月初見込は月の初回提出時のみ入力（2回目提出の見込入力は反映されない）（要件6-3/§13）」に加え、402「CSV取込では確定済み月初見込が上書きされない（月内全行のforecastAcqをDB検証）」、445「CSV取込のみでも月内の見込は最古日付の1件だけ」の3件が再実行でPASS。,PASS,,
T-016,§13 日報 / §7.5,テスト整備,-,-,"日報Excel原本の期待値を用意","テストコードを確認・実行する","KPI自動計算（生産性・達成率・着地予想等）をExcel原本の期待値と突合するテストが存在し、パスする（分母0は「0」表示を含む）","src/app/(app)/reports/actions.ts:112-170（KPI実装）／tests/unit/ にKPIテスト無し",,CODE,"tests/unit/kpi.test.ts（45件全通過）が **発注者提供のExcel原本の数式・表示書式を期待値** としてKPI計算を突合する。原本は docs/materials/稼働日報/{訪販,テレマ}日報.xlsx に同梱し、共有数式（<f t=""shared"" si=N/>）を定義元から解決してキャッシュ値で裏取り済み（R7 の 0.67317 = 138/205 = O7/N7、G2 の 24 = 2026年2月の28日−日曜4日）。訪販12指標・テレマ8指標の各セル番号をテストのコメントに併記。分母0のケース（日報0件・稼働数0・訪問数0・見込未入力）を必ず含め、どのタイルにも NaN/Infinity が現れないことを検証。率（原本の書式 0%）と実数（0.00 / General / #,##0）の出し分けも突合する。",PASS,,"着地予想のみ原本の日次数式が空欄で導出できないため推定（kpi.ts の JSDoc ※2 に明記）。進捗は原本 H7 が空セルのため §7.5 の明記に従う（※1）。"
T-017,§13 日報 / §3.6,テスト整備,-,-,-,テストコードを確認・実行する,日報CSV取込でエラー行レポート（何行目・何列・理由）が返り、全件ロールバックされることを検証するテストが存在し、パスする,C:/Users/hiras/Documents/test/airis/e2e/07-reports-daily.spec.ts:603,,CODE,e2e/07-reports-daily.spec.ts:603「R9: CSVアップロード不正行あり→全件拒否（正常行も取り込まれない）」が再実行でPASS。エラー行レポートは「全件拒否しました」+「3行目: 日付はYYYY-MM-DD形式で入力してください」の表示をアサートし、正常行（2行目）のDB件数0も検証。訪販員CSV側も e2e/16:252「t03 エラー行レポート『n行目: 理由』を表示し全件登録されない」、312「t04 誓約書PDF突合の欠番も行エラー」でPASS。,PASS,,レポート内容は「行番号+理由」で、要件文言の「何列」に相当する列名は理由文に埋め込まれる形（独立した列情報は無い）
T-018,§13 提出物 / §7.6,テスト整備,-,-,-,テストコードを確認・実行する,年度自動計算（4月〜翌3月を同一年度。例: 対象月2027-03→2026年度）を検証するテストが存在し、パスする,C:/Users/hiras/Documents/test/airis/tests/unit/fiscal.test.ts:14; e2e/08-reports-submissions.spec.ts:206,,CODE,tests/unit/fiscal.test.ts:14-29「fiscalYearOf（§7.6 年度 = 4月〜翌3月）」がテーブル駆動で検証（vitest 212件PASS）。E2E側も e2e/08-reports-submissions.spec.ts:206「年度自動計算: 対象月2027-03→2026年度（フォーム表示・DB値・一覧表示）」が再実行でPASS。実装は src/lib/util.ts:19-22。,PASS,,
T-019,§13 提出物 / 要件7-3,テスト整備,-,-,-,テストコードを確認・実行する,提出状況の「n/6」集計（代理店×対象月）を検証するテストが存在し、パスする,C:/Users/hiras/Documents/test/airis/e2e/08-reports-submissions.spec.ts:237,,CODE,e2e/08-reports-submissions.spec.ts:237「提出状況テーブル: 対象月の「n / 6」バッジと未提出様式名の表示」が再実行でPASS（代理店×対象月の集計を検証）。,PASS,,
T-020,§13 窓口 / §7.8,テスト整備,-,⑦⑩,-,テストコードを確認・実行する,代理店側（⑦⑩）から案件の新規起票およびファイル添付ができないことを検証するテストが存在し、パスする,C:/Users/hiras/Documents/test/airis/e2e/10-cases-agency.spec.ts:119; e2e/19-crud-remaining.spec.ts:498,,CODE,"e2e/10-cases-agency.spec.ts:119「R7詳細: 返信フォームあり／新規起票ボタン・ファイル添付UIなし」が、一覧の「新規依頼」リンク/ボタン0件・詳細の input[type=file] 0件・status変更UI 0件・緊急アラート0件をアサートし再実行でPASS。e2e/19:498「⑦に停止・削除UIが無く返信のみ／⑧はホットライン不可」ではDB側の不変（status/履歴0件）も検証。⑩も同一ページ（/agency-cases）を使用し、e2e/10:211,255 で /hotline への直接アクセスが /dashboard へ、他店案件IDは404/リダイレクトとなることを検証。サーバ側は createCaseAction / 添付が sncCaseOperator 経由（components/cases/actions.ts）で代理店ロールを弾く実装。",PASS,,検証はUI不在＋ページ単位の拒否＋DB不変の組合せで、⑦⑩からサーバーアクションへ直接POSTする経路の負テストは無い
T-021,§13 窓口 / §7.10,テスト整備,-,⑦⑩,複数代理店の案件が存在する,テストコードを確認・実行する,代理店側には自店（1次店配下含む）の案件のみ表示され、他店案件が見えないことを検証するテストが存在し、パスする,C:/Users/hiras/Documents/test/airis/e2e/10-cases-agency.spec.ts:55-274,,CODE,e2e/10-cases-agency.spec.ts:55「R7で/agency-cases: HLとCSCが同一画面に混在し種別バッジで区別・自店案件のみ（他店案件は一覧に出ない）」、91「他店案件のIDを直接開くとリダイレクト、存在しないIDは404」、211「R10: 自店(190001)宛は閲覧可・他店(110001)は『自店宛の窓口案件はありません』」、255「R10: 他店案件のID直接アクセスは404/リダイレクト」がいずれも再実行でPASS。,PASS,,
T-022,§13 窓口 / §7.8,テスト整備,-,-,-,テストコードを確認・実行する,期限バッジ3態（「期限まで◯日」グレー/「本日期限」黄/「期限超過 ◯日」赤）の自動表示を検証するテストが存在し、パスする,C:/Users/hiras/Documents/test/airis/e2e/09-cases-snc.spec.ts:229,,CODE,e2e/09-cases-snc.spec.ts:229「期限バッジ3態: 期限まで◯日 / 本日期限 / 期限超過◯日」が再実行でPASS。表示実装は src/components/cases/badges.tsx。,PASS,,
T-023,§13 窓口 / §7.8,テスト整備,-,③,期限超過案件が存在する,テストコードを確認・実行する,期限切れ案件の日次自動リマインドバッチ（SNC運用者通知+指定メール+Slack）を検証するテストが存在し、パスする,src/app/api/cron/daily/route.ts:233-276（実装はあるがテスト無し）,,CODE,"期限超過案件の日次リマインド実装は src/app/api/cron/daily/route.ts:233-276（overdue 抽出 → 当該1次店R7へ notify / R3へ notifyRole サマリ / REMINDER_MAIL_TO へ sendMail）に存在するが、これを検証するテストが無い。`grep -rn ""督促|期限超過の窓口案件|REMINDER_MAIL_TO|overdue"" e2e/ tests/` → 0件。cron 関連テストは e2e/01-auth.spec.ts:465-486（Bearer認証の401/200のみ）と e2e/17-security-hardening.spec.ts:85-（abuseSignals のみ）で、summary.overdueCases / remindedAccounts や R3 通知レコードの assert は皆無。",NOT_IMPLEMENTED,,Slack通知は発注者指示によりスコープ外（残存リスクR-02）。SNC運用者通知+指定メール分についてもテストが存在しない。
T-024,§13 監査ログ / §3.3,テスト整備,-,-,-,テストコードを確認・実行する,主要操作（ログイン成否・承認・削除・ファイル操作・CSVエクスポート等）で監査ログが残ることを検証するテストが存在し、パスする,C:/Users/hiras/Documents/test/airis/e2e/14-file-access.spec.ts:785; e2e/18-access-log.spec.ts:99,,CODE,"監査ログ記録を検証するテストが複数存在し再実行でPASS: ログイン成否 e2e/18:99,131（AccessLog+AuditLog、UAはAccessLog側）、レート制限拒否 e2e/01:162（result=denied/blocked=rate_limit）、権限外アクセス e2e/02:128（access_denied）、閲覧イベント e2e/04:442（view_admin等のビューア表示）、ファイル操作 e2e/14:785「ファイル取得の成功・拒否がいずれも監査ログに記録される（§3.3）」および e2e/11:468、CSVエクスポート e2e/04:404（監査ログCSVのエクスポート自体も監査対象）、承認・停止・削除 e2e/15:161 / e2e/19:390,453 / e2e/21:209,331（deniedも記録）。append-only性は e2e/17:35（airis_app ロールでUPDATE/DELETE不可）で検証。",PASS,,
OQ-001,§14-1 / 要件6-2,レスポンシブ対応,日報提出,⑨ほか,スマホ相当のビューポートでアクセス,日報提出画面と他画面を表示する,日報提出画面（稼働日報タブ）のみスマホ用レイアウト（1カラム・大きめ入力欄）に自動切替される。他の画面はPC前提でスマホ最適化されない,,e2e/07-reports-daily.spec.ts:モバイルビュー（375x812）> R9: スマホビューで日報フォームが操作可能（入力→保存成功→DB検証）,E2E,日報タブのみ max-w-3xl 1カラム構成でスマホ幅で入力・保存完了。他画面はPC前提（min-w指定のテーブル）,PASS,,2026-08-05 発注者回答で確定
OQ-002,§14-2 / §4,⑩稼働終了代理店の表現,-,⑦⑧⑩,稼働中の1次代理店とその配下2次店・各管理者アカウントが存在する,当該1次代理店（Agency）のステータスを「稼働終了」に切り替える,⑩専用のID採番は行われず（`airis_snc_cls_000`は使用しない）、当該1次店の⑦と配下2次店の⑧の実効ロールが⑩に解決される（メニューはダッシュボード+窓口案件のみ、窓口の閲覧/返信のみ可）。Accountのステータスenumは§4.1の4種のまま変更されない,,e2e/12-agencies-dashboard.spec.ts:下位代理店: 稼働終了に変更 → 当該R7の実効ロールが⑩（メニューはダッシュボード+窓口案件のみ）→ 戻す; e2e/01-auth.spec.ts:R10(稼働終了代理店(⑦→⑩)) でログイン → /dashboard,E2E,src/lib/session.ts で agency.status==='closed' の R7/R8 を実効ロールR10に解決。IDは airis_1190001_001 を流用し専用採番なし。Account.status enumは4種のまま,PASS,,2026-08-05 発注者回答で確定。権限一覧★を正とする
OQ-003,"§14-3 / 要件9-1,9-2",窓口案件の添付,ホットライン/消費者センター窓口,①②③⑤⑥⑦⑩,窓口案件が存在する,SNC側と代理店側それぞれからメッセージにファイル添付を試みる,SNC側（①②③⑤⑥）はファイル添付ができ、代理店側（⑦⑩）は添付UIが提供されず、API直叩きでも添付が拒否される,,e2e/09-cases-snc.spec.ts:R5詳細: スレッド表示・ファイル添付付き返信; e2e/10-cases-agency.spec.ts:R7詳細: 返信フォームあり／…ファイル添付UI・ステータス変更UIなし,E2E,src/components/cases/actions.ts replyCaseAction は isAgencySide のとき formData の files を一切読まない（サーバ側で添付を拒否）。代理店側フォームに input[type=file] が存在しないこともE2Eでアサート,PASS,,暫定判断（確定マークなし）。仕様判断不能の可能性
OQ-004,§14-4 / §5.1,窓口の権限,ホットライン/消費者センター窓口,④⑤⑥,各ロールでログイン,窓口機能へアクセス・操作する,④は両窓口とも一切アクセス不可（ダミー表示もなし）。⑤はホットライン窓口の作/変/停/削/閲のフル操作可、⑥は消費者センター窓口の同フル操作可（9-6の「閲覧のみ」は採用しない）,src/lib/roles.ts:68-70 / src/lib/permissions.ts:129-146 / src/components/cases/actions.ts:346-405,e2e/02-nav-permissions.spec.ts:93（R4のALLOWEDに窓口3ルートを含めずリダイレクトをassert）／e2e/19-crud-remaining.spec.ts:390「⑤がHL案件を停止→status=停止+CaseStatusHistory+監査ログ」・:462「⑥がCSC案件を削除」,E2E,"④: MENU（src/lib/roles.ts:68-70）の hotline=[R1,R2,R3,R5] / consumer-center=[R1,R2,R3,R6] / agency-cases=[R7,R10] のいずれにもR4を含めず。実機 curl（R4セッション）で /hotline /consumer-center /agency-cases すべて 307 → /dashboard を確認。ダミー表示も無し（該当ページ自体に到達不可）。⑤: 実機 curl で /hotline 200・/consumer-center 307→/dashboard。HL案件詳細（/hotline/cmsfee1fe002332fo84uiqovx）に「新規依頼」（一覧）「案件を編集（件名・対応期限）」「案件を停止」「案件を削除」「ステータス変更」「返信を送信」が全て描画。⑥: /consumer-center 200・/hotline 307→/dashboard、CSC案件詳細に同じ作/変/停/削/閲の操作を確認。権限マップ src/lib/permissions.ts:129-146 も hotline create/update/suspend/view/delete に R5、consumer-center に R6 を定義。",PASS,,2026-08-05 発注者回答で確定。権限一覧★を正とする / 9-6の「閲覧のみ」ではなく権限一覧★（④=×、⑤⑥フル操作）が実装されている。第2〜6次修正で案件の停止/削除/復旧が追加され解消。
OQ-005,§14-5 / §7.5,日報KPI計算式,日報提出（集計）,-,"【前提変更】発注者から日報Excel原本が提供され docs/materials/稼働日報/{訪販,テレマ}日報.xlsx として同梱済み","KPI計算実装とテストが原本の数式・表示書式と一致しているかを確認する","Excel原本の数式を正として実装され、原本のセル・数式・表示書式に対する期待値突合テストがある。原本に数式が無い項目のみ §7.5 の明記に従い、その旨がコードに根拠付きで記録されている","src/app/(app)/reports/kpi.ts（calcVisitKpi / calcTeleKpi のJSDocに原本のセル・数式・書式の対応表） / tests/unit/kpi.test.ts",T-016,CODE+UNIT,"原本の数式を xlsx から直接抽出して突合（共有数式 <f t=""shared"" si=N/> を定義元から解決し、キャッシュ値で裏取り: R7 の 0.67317 = 138/205 = O7/N7、G2 の 24 = 2026年2月の28日−日曜4日）。訪販12指標のうち原本に数式があるのは G7生産性 / I7達成率 / J7ペースメーカー / K7着地予想 / L7着地差分 / Q7対面率 / R7商談率 / S7成約率 / T7訪問per日 / U7対面per日 / V7商談per日 の11指標で、すべて実装が一致。H7進捗のみ空セル（数式・値なし）のため §7.5「月内経過日数ベースの進捗率」に従い暦日ベースとし、その根拠を kpi.ts のJSDoc ※1 に明記。表示書式（numFmtId）も突合し、率（0%）と実数（0.00 / General / #,##0）を pct() / fx() で出し分け。テレマ8指標は C10/C12/C19/C20/C21/C22/C23/C28 の数式・書式すべて一致（§7.5 が「分子となる入力項目が無い」として対象外にしていた獲得生産性 C12=C17/C9 と後確通過率 C23=C17/C16 は、いずれも分子がエントリー数（実績）で算出可能だったため §14-5 #5 に従い実装）。着地予想のみ原本の日次行 K8:K11 が空欄で導出不能なため、原本 G2/G3 の NETWORKDAYS.INTL(...,11) を根拠に「獲得/稼働実績日数×月の稼働日数」を推定として採用し、推定であることを明記。突合テストは tests/unit/kpi.test.ts の45件（原本のセル番号・数式・書式をコメントに併記）。",PASS,,"着地予想は原本の日次数式が空欄のため推定（残存リスク）。残稼働は原本が「実績未入力日の見込合計」だが要件6-3 に日次見込列が無いため月合計での等価式を採用（構造差として kpiNote で画面に注記）。"
OQ-006,§14-6 / §7.13,AI系・ゲーミング要素,サイドメニュー/全画面,全ロール,-,メニュー・画面・権限定義を確認する,AIチャット/AI研修/AIロープレ/ゲーミング要素の画面・プレースホルダは実装されず、サイドメニューにも表示されない。権限定義（enum・宣言的マップ上の枠）のみが先行実装されている,,tests/unit/roles.test.ts:71-145（MENU が§11.1の11項目+窓口案件の12エントリであること、ロール別表示の全数検証）,CODE,前半（画面・プレースホルダ未実装・サイドメニュー非表示）: src/lib/roles.ts:39-51 PageKey は12キー、:60-73 MENU は§11.1の11項目+代理店向け統合ビュー「窓口案件」のみでAI系・ゲーミングの項目なし。src/app 配下に該当ルートも存在しない。後半（権限定義の枠のみ先行実装）: roles.ts:147-163 に FutureFeatureKey（ai-chat-all / ai-chat-primary / ai-training / ai-roleplay / gaming）と FUTURE_FEATURE_ACCESS を新設。,PASS,,要件シート4・5が欠番のため詳細未確定。仕様判断不能の可能性 / 第4回時点の「権限枠がコードベースに存在しない」は解消。
OQ-007,§14-7 / §6.2 / §7.3,GiGaCC連携CSV,販売員ID管理,①②③⑦,本登録・仮登録・申請中の販売員が混在して存在する,「GiGaCC連携用CSV出力」を実行する,プロトタイプ準拠の仮実装として、本登録ステータスの販売員のみが基本情報付きでCSV出力される（UTF-8 BOM付き）。仮登録・申請中等は含まれない,,e2e/05-sales-staff.spec.ts:GiGaCC連携CSV出力: 本登録のみが含まれる（仮登録・申請中・ダミーは含まない）,E2E,UTF-8 BOM付き（src/lib/csv.ts toCsv が先頭にBOM付与）、本登録のみをDB突合,PASS,,正確な列仕様は発注者確認要。仕様判断不能の可能性 / 列仕様は§14-7で未確定のまま（仕様判断不能の可能性）
OQ-008,§14-8 / §2 / §7.8,通知チャネル未設定時動作,窓口画面ほか,-,メール送信元・Slack Webhookが未設定,通知が発生する操作を実行する,未設定でもエラーなく動作し（送信スキップ）、画面に「Slack: 未設定」「メール: 未設定」等の状態バッジが表示される。設定は抽象化レイヤ+環境変数で吸収される,,e2e/09-cases-snc.spec.ts:R5で/hotline: 一覧表示・通知チャネルバッジ（Slack: 未設定 / メール: 未設定）,E2E,未設定でもエラーなく起票・返信・通知記録が完了し、状態バッジが表示される。メールは src/lib/mail.ts の抽象化レイヤ+環境変数で吸収,PASS,,本番インフラ未確定。仕様判断不能の可能性 / Slackは環境変数判定のみで送信抽象化レイヤ自体は未実装（発注者指示によりスコープ外）
OQ-009,§14-9 / §10.2,セッションタイムアウト値,-,全ロール,-,セッション期限設定を確認する,SEC上限どおり絶対24時間/アイドル60分で実装され、両値が環境変数で変更可能になっている,C:/Users/hiras/Documents/test/airis/src/lib/session.ts,,CODE,絶対期限: lib/auth.ts:13 ABS_HOURS=Number(process.env.SESSION_ABSOLUTE_HOURS ?? 24)、アイドル: lib/session.ts:8 IDLE_MIN=Number(process.env.SESSION_IDLE_MINUTES ?? 60)。既定値24時間/60分（SEC上限どおり）で、両値とも環境変数で変更可能。session.ts:49-50でサーバ側検証,PASS,,厳密値は未確定（上限どおりの暫定実装）。仕様判断不能の可能性
OQ-010,§14-10 / §7.6,提出物の差戻し,稼働提出物,③⑦,承認待ちの提出物が存在する,承認者が差戻しを実行する,承認と対になる差戻し（却下）操作が理由入力付きで実装されており、提出物ステータスが「差戻し」になり提出元が理由を確認できる,,e2e/08-reports-submissions.spec.ts:差戻し（理由付き）→rejected・理由がDBと画面に残る,E2E,理由必須の差戻しでstatus=rejected、rejectReasonがDB・画面（理由: …）に残ることを検証,PASS,,一般的な業務要件としての暫定実装。仕様判断不能の可能性
OQ-011,§14-11 / §6.2,⑦の販売員ID/訪販員削除権,販売員ID管理/訪販員申請・管理,⑦,自店配下と他店の販売員ID・訪販員申請が存在する,⑦が削除を実行する,⑦は自店配下の販売員ID・訪販員申請を削除できる（論理削除のみ、§3.4により1年保持され復旧可能）。他店分の削除は拒否される。フロー図注記「⑦では削除できない」はシステム制限として実装されない,,e2e/06-field-agents.spec.ts:t05 承認フロー（R7に停止・削除ボタンが表示される）; e2e/06-field-agents.spec.ts:t15 R8スコープ: 他店は検索/URL注入でも見えない; e2e/05-sales-staff.spec.ts:削除→deleted+deletedAt設定（論理削除）→復旧,E2E,sales-staff/page.tsx canDelete と field-agents/actions.ts MANAGE_ROLES に R7 を含み、appInScope()/agencyScope() で他店分を拒否。削除は status=deleted + deletedAt の論理削除のみ,PASS,,2026-08-05 発注者回答で確定。権限一覧★を正とする
OQ-012,§14-12 / §4.2 / 要件2-5,⑨のMFA,ログイン/MFA登録,⑨,⑨販売員IDアカウントが存在する,⑨で初回ログインしMFA登録画面に到達する,MFA（TOTP）機能自体は⑨にも提供されるが、⑨はMFA登録をスキップして利用開始でき（既定で強制されない）、任意で登録すればTOTPが要求される。①〜⑧⑩はスキップ不可,src/app/(app)/admin/page.tsx:179,,E2E,MFA(TOTP)機構が存在しないため、⑨のMFA登録スキップ／任意登録後のTOTP要求のいずれも検証対象が無い。src/app/(auth)/login/page.tsx・(auth)/actions.ts にTOTP入力欄・MFA登録画面は無く、prisma/schema.prisma の Account モデルにMFA関連列（secret/enrolledAt等）も存在しない。MFAへの言及は src/app/(app)/admin/page.tsx:179 の TODO コメント1件のみ。,NOT_IMPLEMENTED,,2026-08-05 発注者回答で確定。「利用は任意」を正とする / 発注者指示によりスコープ外（残存リスクR-03）
OQ-013,§14-13 / §5.1 / §6.2,③の販売員ID/訪販員権限,販売員ID管理/訪販員申請・管理,①②③,③でログイン,販売員ID・訪販員申請の各操作を実行する,③は権限一覧★どおりフル権限（申/承/変/停/閲/削）を持ち（個別シートの「最終承認、申請のみ」は採用しない）、①②③は自ら申請した案件の自己承認（最終承認）も可能,,e2e/05-sales-staff.spec.ts:自己承認: R2が自分で申請→自分で1次承認→最終承認まで完結できる（§6.2 ①②③の自己承認）; e2e/03-account-requests.spec.ts:R3が最終承認→一時パスワードが一度だけ表示され…,E2E,"src/lib/roles.ts SNC_ADMIN_ROLES=['R1','R2','R3'] が販売員ID/訪販員の1次承認・最終承認・停止・削除・復旧の許可集合に使われ、自己申請の除外条件は存在しない",PASS,,2026-08-05 発注者回答で確定。権限一覧★を正とする
OQ-014,§14-14 / §7.6,提出物テンプレート,稼働提出物,-,"【前提解消】§14-14 は「実ファイル（docs/materials/フォーマット/）が無い環境」での暫定策として仮テンプレ+TODOコメントを求めていた。2026-08-05に発注者から実ファイル（原本）が提供され配置済みのため、暫定策の前提そのものが消滅した。","様式6種の実ファイルが配布可能で、様式名とファイルの対応が実体と一致していることを確認する","§7.6 の様式6種すべてについて (1) 実ファイルが public/templates/ に存在し空でない、(2) 画面から様式名のファイル名でDL可能、(3) 様式名→ファイルの対応が xlsx の実体（シート名）と一致する","public/templates/template1-6.xlsx / src/lib/roles.ts SUBMISSION_TEMPLATE_FILES / src/app/(app)/reports/page.tsx（提出用テンプレート） / tests/unit/submission-templates.test.ts",,PROCESS,"実ファイル6種を配置済み（11224〜20275バイト）。xlsxを実際に展開してシート名を確認し、対応が実体と一致することを検証: template1=アライアンス申請書 / template2=注意事項+xxxx年xx月（訪販用エリア） / template3=注意事項+xxxx年xx月（ポスティング用） / template4=独自特典 / template5=注意事項+xxxx年xx月（催事用） / template6=So-net代理店様向け環境ヒアリングシート+稼働拠点写真。配布名は download 属性で様式名（例「【独自特典】申請シート.xlsx」）になる。以前は SUBMISSION_KINDS の配列添字から `template${i+1}.xlsx` を組み立てていたため様式の追加・並べ替えで対応がずれ得たが、明示的な対応表 SUBMISSION_TEMPLATE_FILES に置き換え、tests/unit/submission-templates.test.ts（14件）が対応表の網羅性・重複・ファイル実在・シート名一致を検証して回帰を防ぐ。TODOコメントは前提解消により不要（残置すると実ファイル配置済みという事実と矛盾する）。",PASS,,"なし（原本の内容そのものが将来改訂された場合は差し替えが必要。手順は docs/OPERATIONS.md）"
OQ-015,§14-15 / §11.1,サイドメニュー構成,サイドメニュー,全ロール,-,サイドメニューを確認する,ホットライン窓口・消費者センター窓口・お知らせ・ドキュメントを含む計11項目でメニューが構成されている（当初7項目案は採用しない）。M6/M7の実装スコープに変更はない,,e2e/02-nav-permissions.spec.ts:サイドメニュー表示マトリクス（§11.1）; e2e-prod/prod-smoke.spec.ts:本番: 各ロール …メニュー構成,E2E,ホットライン窓口・消費者センター窓口・お知らせ・ドキュメントを含む11項目構成を全ロールで検証,PASS,,2026-08-05 発注者回答・追補で確定。UI-003と対応
S1-001,§7.1,ダッシュボード,ダッシュボード,全ロール（①〜⑩）,各ロールのアカウントでログイン済み,ログイン後にダッシュボードへアクセスする,①〜⑩の全ロールでダッシュボード画面が表示される（アクセス拒否されるロールが無い）,,e2e/01-auth.spec.ts:ログイン成功（全10ロール）; e2e/02-nav-permissions.spec.ts:URL直接アクセス権限マトリクス（§5.2）; e2e-prod/prod-smoke.spec.ts:本番: 各ロール ログイン→ダッシュボード,E2E,,PASS,,
S1-002,§7.1 / §3.1,ダッシュボード,ダッシュボード,全ロール,複数代理店のデータが存在する状態,⑧2次代理店管理者でダッシュボードを表示する,各ステータスカードの件数がログインロールのデータスコープで絞られる（⑧は自店分のみ、⑦は自店+配下2次店分のみが集計され、他店のデータが件数に含まれない）,,e2e/12-agencies-dashboard.spec.ts:ダッシュボード: R2の各セクションカード数値がDB件数と一致（販売員/訪販員/日報/代理店/窓口）; e2e/05-sales-staff.spec.ts:スコープ: R8(210001)の一覧・フィルタには自店のみ表示される; e2e/05-sales-staff.spec.ts:スコープ: R7(110001)は自店+配下2店のみ,E2E,dashboard/page.tsx は agencyScope(user) で agencyId/salesStaff.agencyId/primaryAgencyId を絞り込む。R2スコープでの全カード値をDB件数と突合,PASS,,
S1-003,§7.1,ダッシュボード,ダッシュボード,全ロール（スコープ内）,Airisアカウント申請データが各状態で存在,ダッシュボードを表示する,「Airisアカウント申請」カードに承認待ち／登録済み／停止・削除の3区分の件数が表示される,"src/app/(app)/dashboard/page.tsx:21-27,177-181",,E2E,"src/app/(app)/dashboard/page.tsx:177-181 の「Airisアカウント申請」セクションは StatCard 3枚 = 承認待ち（reqPending: pending_first+pending_final）／登録済み（reqApproved: approved）／差戻し・却下（reqRejected: rejected）。仕様の第3区分「停止・削除」が存在しない。localhost:3100/dashboard を R2 セッションで実取得したレンダリング結果も「Airisアカウント申請｜●2 承認待ち｜●3 登録済み｜●1 差戻し・却下」で一致。なお「停止・削除」カードは /admin 側（admin/page.tsx:188 countOf(""suspended"")+countOf(""deleted"")）にのみ存在する。",FAIL,,3区分のうち第3区分が仕様（停止・削除）と不一致（実装は差戻し・却下）。
